python,英 [paθn]美 [paθɑn],n. 巨蛇，大蟒;
underneath,英 [ndni:θ]美 [ndrniθ],adj. 下面的; 较低的; adv. 在下面，在底下; 在下面，在下层; prep. 在下面; 在
enclose,英 [nklz]美 [nkloz],vt. （用墙、篱笆等）把…围起来; 把…装入信封; 附入;
dial,英 [dal]美 [dal],n. 表盘; 拨号盘; 日晷; 钟（表）面，标度盘; vt.& vi. 打电话，拨电话号码; vt.
erin,英 [irin]美 [rn],n. Ireland的诗名;
ultimately,英 [ltmtli]美 [ltmtli],adv. 根本; 最后，最终; 基本上; 郅;
born,英 [b:n]美 [brn],vt. bear的过去分词; 支撑，支持; 亲自携带，运输; vi. 结果，生产; 和…有关; ad
antonym,英 [ntnm]美 [ntnm],n. 反义词;
inflect,英 [nflekt]美 [nflkt],vt. 变（音），转（调）; 使（词）屈折变化; vi. 屈折变化;
dominate,英 [dmnet]美 [dɑmnet],v. 支配，影响; 占有优势; 在…中具有最重要的特色; 在…中拥有最重要的位置;
heavily,英 [hevli]美 [hvli],adv. 在很大程度上; 沉重地; 大量地; 缓慢又高声地;
diaper,英 [dap(r)]美 [dapr],n. 尿布; 菱形花格的麻或棉织物; vt. 包上尿布; 用菱形花纹纺织或装饰;
demeter,英 [dimi:t]美 [dmit],n. <希神> 得墨忒耳（掌农业，结婚，丰饶之女神）;
mixing,英 ['mks]美 ['mks],n. 混合，混频; v. 混合( mix的现在分词 ); （使）结交; 相容; 平安相处;
overeager,英 ['vr'i:g]美 ['ov'ig],adj. 过于热切的，过于渴望的;
opportunity,英 [ptju:nti]美 [ɑprtunti],n. 机会; 适当的时机良机; 有利的环境，条件;
crazy,英 [krezi]美 [krezi],adj. 疯狂的; 不理智的; 离奇的; 生气的; n. [俚语]疯子，怪人，政治狂人（尤指政治上持
canopy,英 [knpi]美 [knpi],n. 天篷，华盖; [建] 顶篷，顶盖; 苍穹; 树荫; v. 用华盖遮蔽;
hat,英 [ht]美 [ht],n. 帽子; （帽子所表示的）职位，职务; vt. 给…戴上帽子，为…提供帽子; vi. 供应帽子;
winner,英 [wn(r)]美 [  wn],n. 获胜的人; 胜券在握; 制胜的一记入球; 成功的东西;
rice,英 [ras]美 [ras],n. 稻; 稻米， 大米; vt. 筛选;
engineer,英 [endn(r)]美 [endnr],n. 工程师，技师; （轮船的）机师; 〈美〉（火车的）司机，; （陆军的）工兵; vt. 设计，策
snow,英 [sn]美 [sno],n. 积雪; 雪，雪花; 雪季; vt. 下雪; 使纷纷落下; 使变白; 被雪覆盖，被雪阻挡; vi
correction,英 [krekn]美 [krkn],n. 修改; 改[纠]正; 惩罚; 有待改正; adj. 改正的，纠正的;
sports,英 [sp:ts]美 [spts],adj. 有关运动的; n. 运动( sport的名词复数 ); 运动会; 突变; 娱乐;
adaptation,英 [dpten]美 [dpten],n. 适应，顺应; 改编，改编本; 适应性的改变; 同化;
spectrogram,英 ['spektrgrm]美 ['spektrgrm],n. 光谱图，光谱照片，声谱图;
russian,英 [rn]美 [rn],n. 俄国人，俄罗斯人，俄语( Russian的名词复数 );
highlighter,英 [halat(r)]美 [halat],n. 轮廓色崐;
monad,英 [mnd]美 [mɑnd],n. 单孢体，单细胞生物;
london,英 ['lndn]美 ['lndn], 伦敦眼;
listener,英 [lsn(r)]美 [lsnr],n. 听众，倾听者，收听者; 〈俚〉耳朵;
police,英 [pli:s]美 [plis],n. 警察; 警方; 警察部门; 治安; vt. （警察、军队等）巡查; 维护治安; （委员会等）监
falcon,英 [f:lkn]美 [flkn],n. 猎鹰;
aaron,"英 [rn]美 [rn, r-]",n. 艾伦（男子名）; 亚伦(<圣经>故事人物，摩西之兄，犹太教的第一个大祭司);
facial,英 [fel]美 [fel],adj. 面部的; 面部用的; 表面的; n. 美容; 面部按摩;
slack,英 [slk]美 [slk],adj. 懈怠的; 松（弛）的; 清淡的; 不活跃的; v. 懈怠; 放松; 偷懒; 减速; n. 
backbone,英 [bkbn]美 [bkbon],n. 支柱; 脊梁骨，脊椎; 分水岭; 决心，毅力;
gid,英 [gd]美 [gd],n. 眩倒病;
approximate,英 [prksmt]美 [prɑksmt],adj. 约莫的，大概的; 极相似的; [植]相近但不连接的; vi. 接近于; 近似于; vt. 
bleeding,英 [bli:d]美 [blid],adj. 出血的; （心情）过度悲痛的; （用于加强语气，尤表示非常厌烦）该死的; 讨厌的; n. 
bike,英 [bak]美 [bak],n. 自行车; 摩托车; 电动自行车; vi. 骑自行车; na. “motorbicycle”的变
weather,英 [we(r)]美 [w],n. 天气， 气象; 暴风雨; vt.& vi. 晒干， 风化; vt. 平安渡过， 挨过; [地]
participate,英 [pɑ:tspet]美 [pɑrtspet],vi. 参加某事; 分享某事; vt. 得到或接受某部分东西;
hn,英 ['et'en]美 ['et'en],abbr. Honduras 洪都拉斯;
blackberry,英 [blkbri]美 [blkberi],n. 黑莓;
buttony,英 ['btn]美 ['btn],adj. 钮扣状的，多钮扣的;
summarization,英 [smr'zen]美 [smr'zen],n. 概括; 摘要，概要;
multipoint,英 ['mltpnt]美 ['mltpnt],adj. 多点（式）的，多位置的; 多头;
mixture,英 [mkst(r)]美 [mkst],n. 混合，混杂; 混杂的事物[人群]; 混合（状态）;
perceptron,英 [pseptrn]美 [prseptrɑn],n. 感知器（模拟人类视神经控制系统的图形识别机）;
demos,英 [di:ms]美 [dimɑs],n. 古希腊城邦平民，民众; 演示，民主党员，样本唱片( demo的名词复数 );
discriminant,英 [ds'krmnnt]美 [d'skrmnnt],n. 判别式;
silex,英 ['saleks]美 ['saleks],n. 燧石; 石英玻璃，硅石;
piping,英 [pap]美 [pap],n. （某种或某长度的）管道; 笛声; （食品上装饰用的）奶油花饰; （衣服、椅罩等的）滚边; ad
flywheel,"英 [flawi:l]美 [flahwil, -wil]",n. 调速轮;
mutually,英 [mju:tuli]美 [mjutuli],adv. 互相地，互助; 对;
synonym,英 [snnm]美 [snnm],n. 同义词;
ti,英 [ti:]美 [ti],n. 全音阶的第7音;
czech,英 [tek]美 [tk],n. 捷克人[语]; adj. 捷克斯洛伐克的，捷克斯洛伐克人[语]的;
stub,英 [stb]美 [stb],n. 树桩; 铅笔头，烟蒂; 票根，存根; vt. 使（脚趾）碰到某物; 捻灭（香烟，雪茄等）; 连
savings,英 ['sevz]美 [sevz],n. 储蓄; 节约( saving的名词复数 ); 节俭; 储蓄金; 挽救;
daylight,英 [delat]美 [delat],n. 日光，白昼; 清早，黎明; 公开，发表; <俚>眼睛，视力;
sufficient,英 [sfnt]美 [sfnt],adj. 足够的; 充足的; 充分的;
distinguished,英 [dstgwt]美 [dstɡwt],adj. 著名的; 卓越的; 受人尊敬的; 显得重要的; v. 辨别，区别( distinguish
rid,英 [rd]美 [rd],vt. 使摆脱，解除，免除;
commercial,英 [km:l]美 [kmrl],adj. 商业的; 贸易的; 营利的; 靠广告收入的; n. （电台或电视播放的）广告;
birthdate,英 ['b:θdet]美 ['bθdet],n. 出生日期;
horizontal,英 [hrzntl]美 [hrzɑntl],adj. 水平的，卧式的; 地平线的; [植]（枝条）平层的; 同一行业的，同阶层的; n. 水平线
unstable,英 [nstebl]美 [nstebl],adj. 不稳固的; 不坚定的; 易变的; 反复无常的;
decreasing,英 [di:'kri:s]美 [di'kris],adj. 减少的，渐减的; v. （使）缩短，减小，减少( decrease的现在分词 );
volatile,英 [vltal]美 [vɑltl],adj. 易变的，不稳定的; （液体或油）易挥发的; 爆炸性的; 快活的，轻快的;
brace,英 [bres]美 [bres],vt. 支撑; 系紧; 准备，预备; 振作起来; vi. 准备好; 支持; 打起精神; n. 支持物
rescue,,
auxiliary,,
undecided,,
premium,,
booking,,
deletion,,
assam,,
cappuccino,,
maximal,,
dao,,
fj,,
exclusively,英 [k'sklu:svl]美 [ksklusvl],adv. 唯一地; 专门地，特定地; 专有地; 排外地;
cont,英 ['knt]美 ['knt],abbr. contents 内容; 继续的; 不断的; 连续的;
denver,英 [denv]美 [dnv],n. 丹佛（美国城市）;
machinery,"英 [mi:nri]美 [minri, -inri]",n. （总称）机器; （政府等的）机关，组织; 机器的运转部份; 机械装置;
tangent,英 [tndnt]美 [tndnt],n. <数>正切; 突然转移话题; 突兀的转向; （铁路或道路的）直线区间; adj. 相切的; 切
quadrant,英 [kwdrnt]美 [kwɑdrnt],n. 象限仪; 四分之一圆; 扇形体; 四分仪;
cosh,英 [k]美 [kɑ],n. 短棒，护身用的手杖; v. 以短棒攻击;
towards,英 [tw:dz]美 [trdz],prep. 对于; 接近; 朝，向; 为了;
aka,英 [e ke e]美 [eke'e],abbr. 又叫做，亦称(also known as的缩写); n. 阿卡（人名）;
consuming,英 [knsju:m]美 [knsum],adj. 消费的; 强烈的; v. 消耗(consume的现在分词);
rationale,英 [rnɑ:l]美 [rnl],n. 理论的说明; 基本原理，基础理论; 根据;
surrounding,英 [srand]美 [srand],n. 环境，周围的事物; adj. 周围的，附近的; v. 围绕; 包围( surround的现在分
mongoose,英 [mgu:s]美 [mɑgus],n. 猫鼬;
wombat,英 [wmbt]美 [wɑmbt],n. 袋熊;
donkey,英 [dki]美 [dɑki],n. 驴，毛驴; 笨蛋，傻瓜; （美国）民主党的象征;
incredibly,英 [nkredbli]美 [nkrdbl],adv. 难以置信地，很，极为;
manageable,英 [mndbl]美 [mndbl],adj. 易处理的; 易控制的; 可做到的; 温顺的;
modulus,英 ['mdjls]美 ['mdls],n. 系数，模数;
intention,英 [ntenn]美 [ntnn],n. 意向; 意图，目的; 意义，意旨; [医]愈合;
larry,英 ['lr]美 ['lr],n. 小车，斗底车，称量车; 紧绳车; 矿车用推车; 摇车;
unlink,英 [n'lk]美 [n'lk],vt. 解开…的环节;
noon,英 [nu:n]美 [nun],n. 晌午; 正午，中午; 全盛期，顶点; 〈古〉午夜;
dual,英 [dju:l]美 [dul],adj. 双的，两部分的，二体的，二重的; n. 双数; 双数词;
poor,英 [p:(r)]美 [pr],adj. 贫穷的，贫乏的; 令人怜悯的，可怜的; 匮乏的; 低劣的; n. the poor 贫困者
existence,英 [gzstns]美 [ɡzstns],n. 存在，实在; 生活，生活方式; 实体，存在物;
rectangular,英 [rek'tɡjl(r)]美 [rktɡjl],adj. 长方; <数> 矩形的; 成直角的; 直角坐标的;
tire,英 [ta(r)]美 [tar],vt. 使…疲惫; 使…厌烦; vi. 疲劳; 厌烦; n. 轮胎; 头饰;
wonderland,英 [wndlnd]美 [wndrlnd],n. 仙境，奇境; 奇特的地方;
pepper,英 [pep(r)]美 [pp],n. 辣椒; 胡椒; 胡椒粉; vt. 在…上撒胡椒粉; 使布满;
dig,英 [dg]美 [dɡ],vt. （如用铲、锨或推土机等）挖掘; 探究，发掘; 刺，戳; 喜欢，欣赏; vi. 挖掘，松土; 
familiarity,"英 [fmlirti]美 [fmljrti, -mlir-]",n. 熟悉; 通晓; 认识; 友好随便;
turing,英 [tjuri]美 [tr],n. 图灵机（一种可不受储存容量限制的假想计算机）;
dive,英 [dav]美 [dav],vi. 潜水; 跳水; 急剧下降; （头朝下）跳入水中; n. 潜水; 跳水; 俯冲，（潜艇）下潜;
decompose,英 [di:kmpz]美 [dikmpoz],vt.& vi. 分解; （使）腐烂;
sideways,英 [sadwez]美 [sadwez],adv. 斜着，斜向一边; 以侧面对着; adj. 斜向一边的;
significantly,英 [sgnfkntli]美 [sɡnfkntl],adv. 意味深长地; 值得注目地;
kenny,英 [keni]美 [kni],n. （姓氏） 肯尼;
limitation,英 [lmten]美 [lmten],n. 限制; 局限; 极限; 起限制作用的规则（或事实、条件）;
joiner,英 [dn(r)]美 [dn],n. 工匠;
compliance,英 [kmplans]美 [kmplans],n. 服从，听从; 承诺; 柔软度; 顺度;
gimme,英 [gmi]美 [ɡmi],n. <口>给我（或把它给我）;
clipping,英 [klp]美 [klp],n. 剪辑; 剪报; 剪下物; 零头衣料; adj. 剪的; <口>快速的; <俚>头等的; 恰好的
imperfect,英 [mp:fkt]美 [mprfkt],adj. 有缺点的，不完美的; [语]未完成过去时的; [生]只有雄蕊或雌蕊的; [法]在法律上不能
trap,英 [trp]美 [trp],vt. 诱骗; 使受限制; 困住; 使（水与气体等）分离; n. 圈套; （对付人的）计谋; （练习
tapped,英 ['tpd]美 ['tpd],adj. 发接触音的; v. 开发( tap的过去式和过去分词 ); （从容器等）汲取（液体）; 割
castle,英 [kɑ:sl]美 [ksl],n. 城堡，堡垒; 象棋中的车; vt. 把…置于城堡中; （下国际象棋时）用车护（王）;
cave,英 [kev]美 [kev],n. 洞穴; 〈方〉地窖; vt.& vi. （使）塌陷，倒塌; 暗中破坏; vi. 屈服;
courtyard,英 [k:tjɑ:d]美 [krtjɑrd],n. 天井; 庭院，院子;
clarity,英 [klrti]美 [klrti],n. 清晰度; 明确; 透明; 清楚，明晰;
united,英 [junatd]美 [junatd],adj. 联合的; 统一的; 团结一致的; [植]连生的; v. 团结; “unite”的过去式和过
fisher,英 ['f(r)]美 ['fr],n. 渔夫; 渔船; 食鱼动物; 捞取者;
transportation,英 [trnsp:ten]美 [trnsprten],n. 运送，运输; 运输系统; 运输工具; 流放;
trademark,英 [tredmɑ:k]美 [tredmɑrk],n. （注册）商标; （人的行为或衣着的）特征，标记;
onion,英 [njn]美 [njn],n. 洋葱（头）;
enjoy,英 [nd]美 [nd],vt. 喜欢; 欣赏; 享有，享受; 使过得快活; vi. 使过得快活;
fantastic,英 [fntstk]美 [fntstk],adj. 极好的; 很大的; 怪诞的; 不切实际的;
awful,英 [:fl]美 [fl],adj. 可怕的; 糟糕的; 非常的; 极坏的; adv. 非常，极;
lucky,英 [lki]美 [lki],adj. 运气好的，侥幸的; 兆头好的，吉祥的; 〈俚〉难得; 很恰当的;
dozen,英 [dzn]美 [dzn],n. （一）打，十二个; adj. 一打的;
tooling,英 ['tu:l]美 ['tul],v. 加工; n. 用工具修整，工具作业; （装钉）压型;
manifesto,英 [mnfest]美 [mnfesto],n. 宣言; 声明; 告示; vi. 〈罕〉发表宣言[声明];
jane,英 [den]美 [den],n. 简（女子名）;
charming,英 [tɑ:m]美 [tɑrm],adj. 迷人的，可爱的; 英俊的，潇洒的; 令人陶醉的; v. 使高兴; 使陶醉，使着迷;
italian,英 ['tln]美 [tljn],n. 意大利人，意大利国民，意大利语( Italian的名词复数 );
lutz,英 [lts]美 [lts], [人名] 卢茨;
brought,英 [br:t]美 [brt],v. 带来( bring的过去式和过去分词 ); 促使; 提供; 使朝（某方向或按某方式）移动;
bop,英 [bp]美 [bɑp],n. 防喷器; 波普爵士乐; 一击，一掴; vt. 跳舞; 击，打; [俚] 去;
sprint,英 [sprnt]美 [sprnt],vi. 冲刺，全速短跑; n. 全速短跑; 速度或活动的突然爆发;
horn,英 [h:n]美 [hrn],n. 角质; 角，触角; 号角，喇叭; 角状物; vi. 不请自来; 闯入;
traps,英 [trps]美 [trps],n. 随身携带物，随身行李; 圈套( trap的名词复数 ); （对付人的）计谋; （练习射击用的）
latency,英 ['letns]美 [letnsi],n. 潜伏; 潜在因素;
shut,英 [t]美 [t],vt.& vi. 关闭; 闭上; 合上; 打烊; adj. 关闭; 关门; 停业; 合拢;
intelligent,英 [nteldnt]美 [ntldnt],adj. 聪明的; 理解力强的; 有智力的; [计]智能的;
glass,英 [glɑ:s]美 [gls],n. 玻璃; 玻璃制品; 镜子; vt. 给某物加玻璃; 反映; 使平滑如玻璃; vi. 成玻璃状;
aged,英 [edd]美 [edd],adj. 老年的，陈年的; （食品、酒等）陈年的; （动物）达到几岁龄的; 老年人特有的; v. “
interview,英 [ntvju:]美 [ntrvju],n. 采访; 面试; 接见; 会谈; vt.& vi. 面试; vt. 采访; 访问; 会见; （私
curried,英 [krid]美 [krid],adj. 加了咖喱（或咖喱粉的），用咖哩粉调理的;
deflate,英 [dflet]美 [dflet],v. 放气; 紧缩; 瘪下来; 使泄气;
trove,英 [trv]美 [trov],n. （物主不明的）发掘出来的金银财宝;
karma,英 [kɑ:m]美 [kɑrm],n. <宗>（佛教和印度教的）业; 因果报应，因缘;
identification,英 [adentfken]美 [adntfken],n. 认同; 鉴定，识别; 验明; 身份证明;
succeed,英 [sksi:d]美 [sksid],vi. 成功; 继承; vt. 继承，继任，继位; 随…之后;
illumination,英 [lu:mnen]美 [lumnen],n. 照明; 阐明，解释清楚; <物>照度; 彩饰，图案花饰;
cornice,英 [k:ns]美 [krns],n. 檐口; vt. 装檐口;
parallax,英 [prlks]美 [prlks],n. 视差（量），视差角度;
canvas,英 [knvs]美 [knvs],n. 帆布; 油画（布）; vt. 用帆布覆盖; adj. 帆布制的;
azure,英 [(r)]美 [],adj.& n. 蔚蓝（的），天蓝色（的）;
mega,英 [meg]美 ['meɡ],adj. 宏大的; 精彩的;
endless,英 [endls]美 [ndls],adj. 没完没了的; 无尽的，无边的; 永久的; 环形的，无端的;
forecast,英 [f:kɑ:st]美 [frkst],vt. 预报，预测; 预示; vi. 预报，预测; n. 预报; 预言;
health,英 [helθ]美 [hlθ],n. 卫生; 保健; 健康状况; 昌盛，兴旺;
established,英 [stblt]美 [stblt],adj. 已建立的; 已设立的; 已制定的; 确定的; v. 确定; 建立( establish的过
bower,英 [ba(r)]美 [ba],n. 凉亭; 闺房; 树荫处; 船首锚; vt. 荫蔽;
eliot,英 [eljt]美 [lit],"n. 埃利奥特(Elias的异体，亦作Elliott,Elliot)(m.);"
hotshot,英 [htt]美 [hɑtɑt],n. 高手; 能人; 前途无量的人;
ingress,英 [ngres]美 [nɡrs],n. 进入; 进入权; 进食;
fiji,"英 [fi:di:,fi:di:]美 [fidi]",n. 斐济;
mutation,英 [mju:ten]美 [mjuten],n. 突变; 变异; 变化; 转变;
dimensionality,英 [dmen'nlt]美 [dmen'nlt],n. 幅员，广延，维度; 度数;
weka,英 ['wi:k]美 ['wik],n. 新西兰黑秧鸡，毛利鸡;
allen,英 [ln]美 [ln],n. 艾伦（男子名，涵义：英俊，好看的）;
workload,英 [w:kld]美 [wrklod],n. （某一人或组织）工作量，工作负担;
explorer,"英 [kspl:r(r)]美 [ksplr, -splor-]",n. 探险家; 探测器; 勘探者; [医]探针;
rep,英 [rep]美 [rp],n. 棱纹平布; 雷普（物体伦琴当量）; <俚>浪子; <俚>默唱; abbr. 代表(repres
alphabetical,英 [lfbetkl]美 [lfbtkl],adj. 按字母（表）顺序的;
persist,英 [psst]美 [prsst],v. 坚持; 存留; 固执; 继续存在;
broke,英 [brk]美 [brok],vt. 打破(break的过去式和过去分词); 折断; adj. 破产的; 缺乏资金的;
night,英 [nat]美 [nat],n. 晚上; 夜; （举行盛事的）夜晚;
inactive,英 [nktv]美 [nktv],adj. 闲置的; 不活动的，不活跃的; 懒散的，怠惰的; [化]钝性的;
omega,英 [mg]美 [omeg],n. 欧米加（希腊字母的最后一个字）; 欧米茄，国际著名制表企业和品牌;
gotcha,英 [gt]美 [gɑt],n. <口>我已经得到你;
doctor,英 [dkt(r)]美 [dɑkt(r)],n. 博士; 医生，大夫; 神学家; 医疗设备; vt.& vi. 医疗，行医; vt. 修理，装配
walking,英 [w:k]美 [wk],n. 步行，散步; 步法，步态; 道路状态; adj. 步行（用）的; （能）行走的; 解雇的，被免
beware,英 [bwe(r)]美 [bwer],v. 当心; 提防;
inefficient,英 [nfnt]美 [nfnt],adj. 无效率的，无能的; 不称职的; 徒劳的;
nasty,英 [nɑ:sti]美 [nsti],adj. 肮脏的; 下流的，令人讨厌的; 恶劣的，艰险的; 严重的; n. 令人不愉快的事物;
sufficiently,英 [s'fntl]美 [sfntl],adv. 足够地，充分地; 十分，相当;
hassle,英 [hsl]美 [hsl],n. 争论; 困难的事情; 麻烦的事情; vt. 不断烦扰; 与…争辩; 使…烦恼; vi. 争论，
semi,"英 [semi]美 [sma, smi]",n. 半独立式住宅; 半挂车;
accordingly,英 [k:dli]美 [krdli],adv. 因此，于是; 依据; 照着，相应地;
forked,英 [f:kt]美 [frkt],adj. 叉状的，有叉的;
light,英 [lat]美 [lat],n. 光; 发光体; 电灯; 点火器; adj. 轻的; 明亮的; 浅色的; 少量的; v. 点燃;
synchronization,英 [skrna'zen]美 [skrna'zen],n. 同步; 同一时刻; 使时间互相一致; 同时性;
affect,英 [fekt]美 [fkt],vt. 影响; 假装; 感动; （疾病）侵袭; n. 感情，情感，心情; [精神病学]（表露或觉察到
